"Location","Code","Condition","Metric","Vaccination year","Birth year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2032","2032","0","0","0","0","0","0","0","0","0","0","243.06804572449","192.421966805278","141.74661302121","91.0376547399196","40.2950696771578","21.1651385218797","15.8884873709387","10.6030225590879","5.30686730963947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2033","2033","0","0","0","0","0","0","0","0","0","0","243.267277668893","192.57639498189","141.856211532187","91.1067103831138","40.3235555672576","21.1783296337823","15.8974596903991","10.6077690394008","5.30924294744162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2034","2034","0","0","0","0","0","0","0","0","0","0","243.355540046856","192.644261335996","141.903670072956","91.1337493142551","40.3344821066142","21.1831818088706","15.9006363601786","10.6092674052526","5.30906020607222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2035","2035","0","0","0","0","0","0","0","0","0","0","244.177940574686","193.294569904783","142.381787208685","91.4395754854114","40.4679177241515","21.2532605801463","15.9532392726531","10.6443652687654","5.32662378170628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2036","2036","0","0","0","0","0","0","0","0","0","0","243.973861812544","193.131807577417","142.260365198163","91.3595176876036","40.429248048742","21.2301928807494","15.935924069343","10.6328121700132","5.32084241203204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2037","2037","0","0","0","0","0","0","0","0","0","0","243.627969606303","192.854568185683","142.055004535874","91.2260773026977","40.3677695131716","21.1958416218493","15.909053339748","10.6148834060826","5.31187054965059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2038","2038","0","0","0","0","0","0","0","0","0","0","243.146493919794","192.470977407097","141.769349102789","91.0415955521366","40.284519926382","21.1507532682676","15.874488203325","10.5908561798075","5.29984691163615","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2039","2039","0","0","0","0","0","0","0","0","0","0","242.54448598922","191.992948716465","141.415363535417","90.8117170242572","40.1819957542529","21.0962375461087","15.8332111346904","10.5628362491006","5.28510262906912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2040","2040","0","0","0","0","0","0","0","0","0","0","242.55826111159","192.003327520718","141.422344271516","90.8152979412665","40.1821751003325","21.0963317058792","15.8332818037623","10.562883394675","5.28512621830154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2041","2041","0","0","0","0","0","0","0","0","0","0","241.795819214947","191.39896832278","140.976149228238","90.5273485505734","40.0525529021428","21.0263899664812","15.7807889208681","10.5278637311628","5.26760417106605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
